Repos_name,Num_contributers,Prog_Languages,Num_stars,Num_issues,Num_forks,Readme_length
freeCodeCamp,3155,JavaScript,"297,367",350,"20,915",5703
bootstrap,1060,JavaScript,"130,786",275,"64,021",5484
vue,260,JavaScript,"127,842",176,"18,203",2889
react,1281,JavaScript,"122,344",394,"22,169",3319
tensorflow,1835,C++,"120,562","1,717","72,013",3764
free-programming-books,1051,,"117,322",21,"29,507",1776
awesome,352,,"101,719",46,"13,435",14582
You-Dont-Know-JS,163,,"96,312",132,"18,739",2676
oh-my-zsh,1284,Shell,"83,335",359,"16,078",7481
d3,123,JavaScript,"82,370",3,"20,381",1539
react-router,542,JavaScript,"34,781",38,"7,200",881
yarn,478,JavaScript,"34,772","1,616","2,077",1921
next.js,625,JavaScript,"34,716",212,"3,882",57501
impress.js,60,JavaScript,"34,489",40,"6,793",5794
redis,292,C,"34,254","1,383","13,102",19298
spring-boot,541,Java,"34,097",348,"22,818",9779
normalize.css,35,CSS,"33,985",10,"6,883",2147
rust,2309,Rust,"33,986","4,583","5,537",6481
storybook,588,JavaScript,"33,926",223,"2,566",5139
x64dbg,66,C++,"33,606",356,919,2075
javascript,412,JavaScript,"81,703",103,"15,625",74701
gitignore,1023,,"78,980",74,"37,809",6161
coding-interview-university,127,,"74,201",30,"21,674",69278
react-native,1878,JavaScript,"73,912",647,"16,464",3356
developer-roadmap,19,,"73,190",138,"11,355",1595
electron,827,C++,"69,983","1,064","9,094",2972
linux,∞,C,"69,339",250,"24,913",757
vscode,826,TypeScript,"69,215","4,928","9,213",2336
create-react-app,613,JavaScript,"63,512",264,"13,966",6499
awesome-python,304,Python,"61,473",59,"11,933",57308
angular.js,1598,JavaScript,"59,382",386,"28,933",5281
Font-Awesome,5,JavaScript,"58,795","4,731","9,964",4042
node,2403,JavaScript,"58,161",587,"12,872",16811
animate.css,92,CSS,"57,393",8,"12,229",5995
system-design-primer,64,Python,"57,114",48,"8,289",70127
axios,158,JavaScript,"55,023",429,"4,260",17882
flutter,329,Dart,"53,143","4,133","5,626",3748
go,1249,Go,"53,117","4,128","7,293",1399
moby,1800,Go,"52,156","3,423","15,093",3172
public-apis,459,Python,"50,943",6,"5,154",44556
jquery,273,JavaScript,"50,904",68,"17,706",11112
laravel,488,PHP,"49,756",0,"15,307",2130
CS-Notes,154,,"49,323",1,"15,191",1465
three.js,1037,JavaScript,"48,730",598,"18,295",1561
models,471,Python,"48,300","1,056","29,503",1138
kubernetes,1999,Go,"48,198","2,139","16,687",1694
atom,428,JavaScript,"47,814",593,"11,018",2795
youtube-dl,658,Python,"47,169","2,241","8,183",83665
webpack,505,JavaScript,"47,053",433,"5,935",11758
redux,660,JavaScript,"46,854",24,"11,930",16249
swift,660,C++,"46,637",458,"7,389",11825
puppeteer,193,JavaScript,"45,344",314,"3,953",13870
angular,844,TypeScript,"45,279","2,293","11,780",466
socket.io,155,JavaScript,"45,186",351,"8,357",5306
free-programming-books-zh_CN,97,JavaScript,"45,139",104,"15,067",9552
TypeScript,369,TypeScript,"45,053","3,367","6,323",2647
reveal.js,226,JavaScript,"44,673",337,"12,878",48138
javascript-algorithms,76,JavaScript,"44,668",23,"6,030",10881
java-design-patterns,143,Java,"44,487",177,"14,416",1503
Semantic-UI,191,JavaScript,"44,461",733,"4,736",4215
material-ui,1127,JavaScript,"44,416",263,"9,111",3080
ant-design,751,TypeScript,"42,420",268,"14,385",1908
express,220,JavaScript,"42,395",113,"7,261",2392
awesome-vue,1398,,"42,320",60,"5,861",158623
html5-boilerplate,230,JavaScript,"42,226",3,"9,988",2624
build-your-own-x,44,,"42,167",4,"2,760",17164
rails,3751,Ruby,"42,160",357,"17,018",3882
flask,503,Python,"41,932",33,"11,936",1689
Chart.js,292,JavaScript,"41,760",425,"9,333",2008
thefuck,120,Python,"40,937",130,"2,032",18296
element,416,Vue,"35,013",677,"6,954",2239
yarn,478,JavaScript,"34,772","1,616","2,077",1921
next.js,625,JavaScript,"34,716",212,"3,882",57501
impress.js,60,JavaScript,"34,489",40,"6,793",5794
redis,292,C,"34,254","1,383","13,102",19298
normalize.css,35,CSS,"33,985",10,"6,883",2147
rust,2309,Rust,"33,986","4,583","5,537",6481
x64dbg,66,C++,"33,606",356,919,2075
awesome-android-ui,41,,"33,512",22,"8,778",10377
shadowsocks-windows,50,C#,"32,952",130,"11,584",3817
computer-science,85,,"38,400",39,"5,538",21522
elasticsearch,1153,Java,"38,343","1,632","12,866",7789
keras,773,Python,"38,205","2,109","14,581",6654
awesome-machine-learning,364,Python,"38,105",0,"9,408",90686
json-server,61,JavaScript,"38,099",363,"3,300",11880
RxJava,235,Java,"37,596",25,"6,397",25594
lodash,276,JavaScript,"37,330",1,"3,861",1616
requests,530,Python,"37,167",118,"6,780",2479
material-design-icons,18,CSS,"37,149",507,"7,490",1514
bitcoin,606,C++,"37,131",628,"22,101",2885
ionic,292,HTML,"36,977",366,"12,886",1549
jekyll,842,Ruby,"36,831",80,"8,045",2352
every-programmer-should-know,60,,"36,608",11,"3,319",6109
node-v0.x-archive,2,,"35,607",535,"7,839",469
markdown-here,12,JavaScript,"35,514",219,"6,014",10309
netdata,230,C,"35,496",456,"3,062",24181
ansible,4162,Python,"35,360","3,935","14,363",3152
materialize,252,JavaScript,"35,079",446,"4,709",2173
nw.js,96,C++,"35,015",700,"3,793",4759
element,416,Vue,"35,013",677,"6,954",2239
